Index,date,time,Sentimiento,Comentarios,Categorias 3,Categoría 2,Categoria 1,tweet
1,2023-01-01,,Positivo,,,?,Agradecimiento,"Resuelto, muchísimas gracias , excelente servicio como siempre"
2,2023-01-02,,,,,Solicitud de apoyo,Agradecimiento,"Muchas gracias, espero su dm"
3,2023-01-02,,,,,,Agradecimiento,Muchas gracias!
4,2023-01-02,,,,,,Comentario Negativo,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.
5,2023-01-02,,,,,,Comentario Positivo,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰
6,2023-01-02,,,,,,?,Esta es la señal que necesitan para tener el mínimo dinero en banamex
7,2023-01-03,,,,,,Agradecimiento,Gracias 😁
8,2023-01-03,,,,,,Agradecimiento,Muchas gracias 😊
9,2023-01-03,,,,,,Comentario Positivo,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón."
10,2023-01-04,,,,,,Agradecimiento,Gracias por la playera que me dieron en Galerías GDL.
11,2023-01-04,,,,,,Solicitud de apoyo,buen día...tengo problemas con mi cuenta
12,2023-01-05,,,,,,Agradecimiento,Gracias
13,2023-01-05,,,,,,Agradecimiento,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻
14,2023-01-05,,,,,,Agradecimiento,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias"
15,2023-01-06,,,,,,Agradecimiento,"Ya todo bien, gracias 👍"
16,2023-01-06,,,,,,Agradecimiento,Milagro que me gano algo 🫶🏻
17,2023-01-06,,,,,,Comentario Positivo,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚
18,2023-01-06,,,,,,Agradecimiento,nunca había ganado nada antes ✨ hahaha
19,2023-01-06,,,,,,Comentario Positivo,Con el CashBack de pude pagar mi servicio de internet. yei :)
20,2023-01-07,,,,,,Agradecimiento,Gracias!!!
21,2023-01-07,,,,,,Agradecimiento,"Listo, gracias"
22,2023-01-07,,,,,,Agradecimiento,Si gracias
23,2023-01-08,,,,,,?,A mí me llegó una semana después aprox
24,2023-01-09,,,,,,Solicitud de apoyo,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..
25,2023-01-10,,,,,,Agradecimiento,Muchas gracias!
26,2023-01-10,,,,,,Agradecimiento,Muchas gracias 🙏
27,2023-01-10,,,,,,?,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor."
28,2023-01-10,,,,,,Comentario Positivo,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio."
29,2023-01-11,,,,,,Agradecimiento,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝
30,2023-01-11,,,,,,Comentario Negativo,"Pues bueno, me quedé sin cena, muchas gracias 👍"
31,2023-01-11,,,,,,Agradecimiento,"Gracias e igualmente, bendiciones 🙏"
32,2023-01-11,,,,,,Solicitud de apoyo,Vale estoy esperando
33,2023-01-11,,,,,,Agradecimiento,Muchas gracias espero la respuesta
34,2023-01-13,,,,,,Comentario Positivo,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁
35,2023-01-13,,,,,,?,es mejor
36,2023-01-13,,,,,,Solicitud de apoyo,Contéstenme por favor
37,2023-01-14,,,,,,Agradecimiento,Muchas gracias que amables 😊
38,2023-01-14,,,,,,Comentario Positivo,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito"
39,2023-01-14,,,,,,Solicitud de apoyo,amigos les mandé dm gracias
40,2023-01-14,,,,,,Solicitud de apoyo,solicito su ayuda gracias
41,2023-01-15,,,,,Solicitud de apoyo,Agradecimiento,Gracias!Ya respondí.Quedo atenta
42,2023-01-16,,,,,,Agradecimiento,Va gracias
43,2023-01-16,,,,,,Agradecimiento,No sé ni a qué le piqué pero muchas gracias😂❤️
